,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret,eq_ret_local,boj_shock,boj_tightening_shock,fragility_pca,vix,us_2y,jpy_2y,jpy_10y
fx_ret,1.0,-0.1487803814878324,-0.20240129961560077,-0.03115731430911362,-0.4905148079899495,0.07557834813837634,0.08686616400777783,0.023342283331028016,0.020264482244159526,-0.008964811230488156,-0.00335461612412001,-0.006789330274746963
jpy_2y_change,-0.1487803814878324,1.0,0.7129423099923745,0.05781734631441074,0.11934581529625748,0.2764414980947098,0.24770811966201353,0.027734521947585387,-0.024377923428937315,0.04832560064405695,0.0920161896853456,0.08741264700154348
jpy_10y_change,-0.20240129961560077,0.7129423099923745,1.0,0.08384726570044884,0.16688541897717069,0.227710904000684,0.18639314181743488,0.032706670548717114,-0.015799146095033113,0.041242121629093194,0.07247043171353737,0.07750965489131077
eq_ret,-0.03115731430911362,0.05781734631441074,0.08384726570044884,1.0,0.8862928936742775,0.05225863822279367,0.06343405161928366,-0.004976161705415544,-0.12771741444717585,7.282757505065927e-05,0.011207710552913941,0.015258700986259203
eq_ret_local,-0.4905148079899495,0.11934581529625748,0.16688541897717069,0.8862928936742775,1.0,0.01054277898225873,0.01505592111855644,-0.015154146773567238,-0.120740763185411,0.004217341456224225,0.011325873113916488,0.016449229217314468
boj_shock,0.07557834813837634,0.2764414980947098,0.227710904000684,0.05225863822279367,0.01054277898225873,1.0,0.9018627220051993,0.042182839202049675,-0.0013307150920534691,0.011842790782153643,0.05177307865684497,0.0493870352321882
boj_tightening_shock,0.08686616400777783,0.24770811966201353,0.18639314181743488,0.06343405161928366,0.01505592111855644,0.9018627220051993,1.0,0.05511543025186727,-0.009082564515739536,0.02464243531821804,0.0506535858367401,0.04976243429226871
fragility_pca,0.023342283331028016,0.027734521947585387,0.032706670548717114,-0.004976161705415544,-0.015154146773567238,0.042182839202049675,0.05511543025186727,1.0,0.4636862032354059,0.3369689713234278,0.35500138459383157,0.39544281189176506
vix,0.020264482244159526,-0.024377923428937315,-0.015799146095033113,-0.12771741444717585,-0.120740763185411,-0.0013307150920534691,-0.009082564515739536,0.4636862032354059,1.0,-0.1583925396752169,0.009606025525686075,-0.011337043591530344
us_2y,-0.008964811230488156,0.04832560064405695,0.041242121629093194,7.282757505065927e-05,0.004217341456224225,0.011842790782153643,0.02464243531821804,0.3369689713234278,-0.1583925396752169,1.0,0.5439859953364098,0.6446139801500772
jpy_2y,-0.00335461612412001,0.0920161896853456,0.07247043171353737,0.011207710552913941,0.011325873113916488,0.05177307865684497,0.0506535858367401,0.35500138459383157,0.009606025525686075,0.5439859953364098,1.0,0.9800391902724284
jpy_10y,-0.006789330274746963,0.08741264700154348,0.07750965489131077,0.015258700986259203,0.016449229217314468,0.0493870352321882,0.04976243429226871,0.39544281189176506,-0.011337043591530344,0.6446139801500772,0.9800391902724284,1.0
