horizon,response,tightening_beta,tightening_x_fragility_beta,easing_beta,low_state_response,high_state_response,high_minus_low,n_events
0,fx_ret,0.10266545388909185,0.16075756616017858,0.15031299803120873,0.21472765738173485,2.098049885152481,1.8833222277707462,79
0,jpy_2y_change,1.0000000000000004,5.234274750545962e-16,-0.9999999999999998,10.000000000000002,10.000000000000009,7.105427357601002e-15,79
0,jpy_10y_change,1.534538827118069,-0.41330604241799856,-1.439853565533296,17.432843898587876,12.59084190048478,-4.842001998103097,79
0,eq_ret_local,0.3381603177210659,-0.3879167435111046,-0.11045663828764922,5.34082686644183,0.7962679817236712,-4.544558884718159,79
1,fx_ret,0.06110647241657646,0.17915304050280204,0.02671042684576067,-0.29377087992265044,1.8050597469073937,2.0988306268300443,79
1,jpy_2y_change,1.0896395773081617,0.017156366067215746,-1.3648053202890913,10.809745327123107,11.01073720784096,0.20099188071785257,79
1,jpy_10y_change,1.7579604863901068,-0.37720063007949656,-2.0914638322736807,19.48470543614156,15.065688975976848,-4.419016460164713,79
1,eq_ret_local,0.2921570771856118,-0.4247551334672665,0.05993036786683616,5.066851514520925,0.09072004322480343,-4.976131471296122,79
2,fx_ret,0.15823745483760385,0.21729447229910975,-0.049304555465678954,0.4849007094948994,3.0305694417825393,2.54566873228764,79
2,jpy_2y_change,0.760298166289133,0.6417454111694842,-1.3143920140138579,4.361763455503851,11.879999929805198,7.518236474301347,79
2,jpy_10y_change,1.1571175701302765,0.3267084981411847,-2.030230704270806,9.92109217245652,13.748578437941589,3.827486265485069,79
2,eq_ret_local,0.053418318756937366,-0.6690095757375587,0.018203072618642013,3.913102584664174,-3.9245416063569705,-7.837644191021145,79
3,fx_ret,0.4060848398884796,0.18791974678666143,-0.0015389398618695404,3.111735410756686,5.313270583339051,2.201535172582365,79
3,jpy_2y_change,0.09160279037952929,0.5944503404521878,-1.2671288612603384,-2.0863204314271093,4.877840361875668,6.964160793302778,79
3,jpy_10y_change,0.06366744071958597,0.31275213810824615,-1.874343741543146,-0.9429207200813255,2.721062677721516,3.6639833978028418,79
3,eq_ret_local,-0.3404268733248379,-0.5853767281554318,-0.138657701858642,-0.4477478505813848,-7.3056086038124715,-6.857860753231087,79
4,fx_ret,0.3459823452916133,0.14636078984490464,-0.001968719975507596,2.7206093523767647,4.435269106023073,1.7146597536463082,79
4,jpy_2y_change,0.09985937082819349,0.6766169646767328,-1.4145602290855728,-2.418747790648226,5.5080192020342,7.926766992682426,79
4,jpy_10y_change,0.5329599367476714,0.5446492293002154,-1.7176715628378632,2.57877798578522,8.959504096413482,6.380726110628262,79
4,eq_ret_local,-0.3207029983922173,-0.49578970167436204,-0.04353669702436074,-0.7029799663712843,-6.5113023226128846,-5.8083223562416,79
5,fx_ret,0.25227417613092423,0.2212597536562268,0.0562372030730174,1.405240756034065,3.9973639271241836,2.592123171090119,79
5,jpy_2y_change,-0.007375163451807887,0.459533959717183,-1.591088714156736,-2.3946873377183566,2.988888324832693,5.383575662551049,79
5,jpy_10y_change,0.6504577000613001,0.04654677520565751,-1.3525579158234546,6.26948649171974,6.814795670439926,0.5453091787201858,79
5,eq_ret_local,-0.1721449028390989,-0.5930244410867737,0.037115326856302144,1.2736976176496233,-5.673758344685678,-6.947455962335301,79
6,fx_ret,0.1779966181973492,0.17839481748805214,-0.1072156298421098,0.8789600812954543,2.968907902224699,2.089947820929245,79
6,jpy_2y_change,0.2250005819388734,0.268185457253035,-1.5485170004749422,0.8955004783672829,4.037372085867496,3.141871607500213,79
6,jpy_10y_change,0.5329553791330589,0.2056987326452603,-1.2351539519291737,4.290645735453165,6.700466962959739,2.4098212275065745,79
6,eq_ret_local,-0.09016378047734144,-0.2855800677975836,0.3628110043740817,0.5407212667556871,-2.804933325673037,-3.3456545924287244,79
7,fx_ret,0.22749416389850993,0.09640834292939858,-0.192838004062228,1.788018832825295,2.917470960761637,1.129452127936342,79
7,jpy_2y_change,0.6422787979042166,-0.060114391901790847,-0.9764584817807941,6.726403490998905,6.022145687265068,-0.704257803733837,79
7,jpy_10y_change,0.8505438298456758,-0.09727527703782668,-0.45355320291610485,8.99673966746709,7.85713115115405,-1.1396085163130394,79
7,eq_ret_local,-0.16667017362258912,-0.11093232090931511,0.6266471698073647,-1.106423700635755,-2.40602850765642,-1.2996048070206652,79
8,fx_ret,0.22763199663126749,0.193439623499374,-0.2108914691309825,1.2993281268637986,3.565530280639742,2.2662021537759434,79
8,jpy_2y_change,0.5674232002518247,-0.12203968315136117,-0.8642519810804278,6.290609207823303,4.86087838121919,-1.4297308266041133,79
8,jpy_10y_change,0.8927104230902287,-0.48465324182001795,0.11183794004700852,11.374908117483635,5.697052667922278,-5.677855449561357,79
8,eq_ret_local,-0.18921051606542824,-0.2160479393351528,0.6675777367519394,-0.800927097743747,-3.3319923292771514,-2.5310652315334043,79
9,fx_ret,0.17096494460631734,0.2809554404240381,-0.09995980802833883,0.2906476532689556,3.58212337414723,3.291475720878274,79
9,jpy_2y_change,0.382707272336417,0.08442519347308379,-1.0182694530935716,3.400672363525988,4.389738366760183,0.9890660032341945,79
9,jpy_10y_change,0.9517404376925255,-0.6752494464696306,-0.16362071429818273,12.927839048265145,5.017092934088375,-7.91074611417677,79
9,eq_ret_local,0.066765317294926,-0.3791895767342793,0.3879606048952613,2.582799177535354,-1.8595183783990588,-4.442317555934412,79
10,fx_ret,0.15135886670693766,0.2567100710886203,-0.010836394854081088,0.2170412481858061,3.2244753274756146,3.0074340792898084,79
10,jpy_2y_change,0.20616488843724015,0.13961108844465323,-1.3260070579249823,1.3565250238131765,2.992110037890196,1.6355850140770196,79
10,jpy_10y_change,0.6883032357310546,-0.7618150676794223,-0.7950678129609736,10.73067789563221,1.805790036968341,-8.924887858663869,79
10,eq_ret_local,0.40824281696410747,-0.6707738350341746,0.48575859285375567,7.47025818651627,-0.38805482170727823,-7.858313008223549,79
11,fx_ret,0.04933608063562195,0.45233030085507653,-0.020199160109181418,-1.7911918859844738,3.5079907916493687,5.299182677633842,79
11,jpy_2y_change,0.1708408104242933,0.3517075796610134,-1.3354462453665388,-0.06793651939224349,4.052421347876312,4.120357867268555,79
11,jpy_10y_change,1.347703675234306,-1.3885395242556369,-0.6189193720818685,20.490035223953363,4.222885797448551,-16.26714942650481,79
11,eq_ret_local,0.8572181985596494,-1.2179764068187995,0.5325043816013947,14.723729370649604,0.4547770926796202,-14.268952277969984,79
12,fx_ret,-0.023278518875642695,0.5942240787117318,-0.01866827235645206,-3.2339907597922264,3.7275193105911058,6.961510070383332,79
12,jpy_2y_change,0.7577539331490805,-0.37089150765526074,-0.9689435460760151,9.450774864857385,5.105671631815376,-4.345103233042009,79
12,jpy_10y_change,1.8565476386253086,-2.2740737635777832,-0.3413550083386437,30.050980075353667,3.409536261325483,-26.641443814028186,79
12,eq_ret_local,1.064562236712725,-1.6768911672517783,0.3982390151585916,19.114978109303777,-0.5302957292597799,-19.645273838563558,79
13,fx_ret,0.04555900120339379,0.5594055383545596,-0.132724277631751,-2.369760017230769,4.1838405994360475,6.553600616666817,79
13,jpy_2y_change,1.0666622081110413,-0.6085176718095553,-1.0301384507051112,13.740019292929784,6.611055570200042,-7.1289637227297415,79
13,jpy_10y_change,2.1287936481210994,-2.5361792206608698,-0.6014681901248088,34.09723768404083,4.385151254953783,-29.712086429087044,79
13,eq_ret_local,1.0098188402798502,-1.5711928884976822,0.3958723011523353,18.033701316301002,-0.3732860604213073,-18.40698737672231,79
14,fx_ret,0.09005298840897022,0.47422720600387375,-0.29059292743876325,-1.4946159600187323,4.061095409676963,5.555711369695696,79
14,jpy_2y_change,0.835764601862828,-0.34622054373216327,-1.140650676175722,10.106277657569468,6.050202032040523,-4.056075625528945,79
14,jpy_10y_change,1.6772185909253705,-1.7528289619482889,-0.5161980978705795,25.62507530592204,5.090167840177731,-20.534907465744308,79
14,eq_ret_local,0.9187575712406602,-1.590079632739149,0.7238236649225733,17.21847857065706,-1.4097725766596247,-18.628251147316682,79
15,fx_ret,0.16409031177522823,0.4630440891729923,-0.24253544846239886,-0.6977609482916391,4.726936914504041,5.42469786279568,79
15,jpy_2y_change,0.7560595671103908,-0.4691196319854154,-0.9269427537299612,9.9299450519793,4.4340704159982876,-5.495874635981013,79
15,jpy_10y_change,1.1969804605072825,-1.5619701833513135,-0.4781845122607817,19.858737053298135,1.559796383285883,-18.298940670012254,79
15,eq_ret_local,0.1749480153741863,-0.5840291367105654,0.3776628718253569,4.699194851508741,-2.1428784711043565,-6.842073322613098,79
16,fx_ret,0.1381090116258752,0.4972565743916428,-0.09724213163910254,-1.1303685316873362,4.69513867040477,5.825507202092107,79
16,jpy_2y_change,0.517181887738458,-0.02099380564695384,-0.9676666707235638,5.277850808304441,5.031902192853201,-0.24594861545124047,79
16,jpy_10y_change,0.9764806147775695,-1.128385572562576,-0.4897796178913851,15.46386343605176,2.2444941642785086,-13.219369271773251,79
16,eq_ret_local,0.2545014113369527,-0.8065954276538481,0.38176095171372887,6.618828651977417,-2.8306743107953283,-9.449502962772744,79
17,fx_ret,0.18475974006851242,0.5014923996826828,-0.12051458059961143,-0.6852548307875089,5.1898763119632925,5.875131142750801,79
17,jpy_2y_change,0.8343708156883426,-0.38063445113069794,-0.6973911475860006,10.266151686499773,5.8069070015218625,-4.459244684977911,79
17,jpy_10y_change,0.896347810289774,-1.1693164097556443,-0.17442688673300794,14.869261878725965,1.170375795842482,-13.698886082883483,79
17,eq_ret_local,0.36945497664097904,-0.79232214903226,0.528926254536435,7.696275265123964,-1.586012035373715,-9.282287300497678,79
18,fx_ret,0.23777583441311984,0.49506526257035527,-0.10029743949226781,-0.12263280002039079,5.677202538783517,5.7998353388039074,79
18,jpy_2y_change,0.9742757983748656,-0.5973788037307709,-0.7187453027470102,12.759896901549455,5.761428298558451,-6.998468602991004,79
18,jpy_10y_change,0.6528591394583866,-0.9679460566759972,-0.41978773653450524,11.417328155396621,0.07755505877882873,-11.339773096617792,79
18,eq_ret_local,0.27899986797646603,-0.79705557854843,0.3184212501767315,6.815630976508348,-2.5221098446808976,-9.337740821189245,79
19,fx_ret,0.30508580186247314,0.40638019855796437,-0.011952719092812992,0.9983822614744384,5.759245959221114,4.760863697746675,79
19,jpy_2y_change,0.6895774087002706,-0.04757401802273822,-0.665846101106429,7.136052818615102,6.57870918778833,-0.5573436308267725,79
19,jpy_10y_change,0.007592867831352601,-0.097880234685293,-0.39569830481057805,0.5702854641722495,-0.5764103091299749,-1.1466957733022243,79
19,eq_ret_local,0.2731680554135881,-0.6879180451471228,0.22819328480531137,6.206099621750214,-1.8530628566072338,-8.059162478357448,79
20,fx_ret,0.299609905201047,0.4574960032538594,-0.038756910236664104,0.6854563115331358,6.045156713974922,5.359700402441787,79
20,jpy_2y_change,1.0411478376016021,-0.4830657307908803,-0.12283637572327166,12.85126433280385,7.192007042442212,-5.659257290361639,79
20,jpy_10y_change,0.4510960175466461,-0.7877084047232574,0.29317562483567156,8.489383361770924,-0.738852565482292,-9.228235927253216,79
20,eq_ret_local,0.395263651354379,-0.9894490785484344,0.09674192999548667,8.949977067689147,-2.6417102624164213,-11.591687330105568,79
