event_day,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret
-5,0.06890396669825778,-0.021518987341772412,-0.15316455696202558,-0.062478942402375955
-4,-0.015126254834734232,0.21772151898734157,0.14810126582278507,0.06727846246785432
-3,-0.05399925876781119,0.10126582278481026,0.14177215189873416,-0.04818064901934536
-2,0.0072736899591992425,-0.11265822784810094,-0.20759493670886098,-0.046711633804552705
-1,-0.05840598339123699,-0.09746835443038018,-0.1354430379746838,0.05292820563151692
0,0.0018914066456109928,0.35063291139240543,0.15696202531645634,0.10207119138470225
1,0.1728424971972276,0.02025316455696183,0.05063291139240558,-0.12043621013293988
2,0.02866776366103941,0.03924050632911406,0.0265822784810127,0.011038214392511824
3,0.0701572201744353,-0.15822784810126594,-0.2848101265822785,-0.16703173377281527
4,-0.11094206394911585,0.21012658227848138,0.4405063291139231,0.24086938467261948
5,-0.01826003160197888,-0.02658227848101261,0.09240506329113964,0.09856602554997838
