horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret
0,2.16182129563093,0.05555082943155121,-6.76283655614302,1.5388656258786364
1,-0.04105978339354348,0.8673792015100352,1.3693521060471974,-0.6301717659757259
2,-0.03219735286094915,-0.04173875947658026,-0.107638561726688,0.06220143495972516
3,0.002632653114374751,0.0037011724427708503,-0.0023288385415048546,-0.00548076428694343
4,-0.00025162342481606977,-0.00025081584626179126,-0.0013181486451011443,2.8105352571622562e-05
5,1.3506309464516447e-05,1.2071268592532547e-05,-8.136157307513103e-05,-3.117916082304422e-05
6,-5.836574336857969e-07,1.1500910869627345e-06,-1.2474085027899817e-05,-3.3740712167620868e-06
7,-1.5655681797135945e-07,-8.187345625076947e-08,-1.4171771429288826e-06,-2.0826437828296018e-07
8,2.491911764955501e-08,2.9826088772388903e-08,-1.4873927123293385e-07,-4.719374365348e-08
9,-3.6087220156577615e-09,5.552050347246151e-10,-1.803633484231959e-08,-5.009065580721672e-09
10,2.3818376090889437e-10,7.880886915279106e-11,-2.199325041529754e-09,-2.6820689766338113e-10
11,-9.084304489204165e-12,5.540001790649285e-11,-2.0368454145547332e-10,-1.0460589078969962e-10
12,-2.784044696169108e-12,-2.762880202400453e-12,-3.187314301378308e-11,-1.5016468971063013e-12
13,5.124138960366231e-13,8.864367573302445e-13,-2.622860262313509e-12,-1.270024883870402e-12
14,-7.79289827113061e-14,-8.174017018802715e-15,-3.936573289564649e-13,-7.22893966909055e-14
15,6.34041430469523e-15,4.65599780952175e-15,-4.098110739647609e-14,-8.285906683003219e-15
16,-3.946495907847236e-16,9.159339953157541e-16,-4.3576253716537394e-15,-1.915134717478395e-15
17,-3.209238430557093e-17,-4.163336342344337e-17,-6.106226635438361e-16,-4.336808689942018e-17
18,8.673617379884035e-18,2.0816681711721685e-17,-6.938893903907228e-17,-2.688821387764051e-17
19,-1.734723475976807e-18,0.0,0.0,-8.673617379884035e-19
20,8.673617379884035e-19,0.0,-1.3877787807814457e-17,8.673617379884035e-19
21,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
22,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
23,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
24,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
25,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
26,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
27,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
28,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
29,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
30,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
31,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
32,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
33,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
34,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
35,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
36,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
37,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
38,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
39,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
40,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
41,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
42,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
43,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
44,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
45,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
46,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
47,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
48,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
49,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
50,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
51,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
52,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
53,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
54,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
55,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
56,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
57,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
58,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
59,0.0,0.0,1.3877787807814457e-17,-8.673617379884035e-19
60,0.0,0.0,-1.3877787807814457e-17,8.673617379884035e-19
